id,gender,birth,death,birthplace_lat,birthplace_long
0,male,1725,1792,49.65,17.9333333333333
1,female,1742,1761,41.0833333333333,-74.9833333333333
2,female,1734,1791,50.9666666666667,8.31666666666667
3,male,1732,1789,54.95,8.86666666666667
4,female,1668,1748,40.6666666666667,-75.3333333333333
5,female,1724,1782,50.2166666666667,8.26666666666667
6,male,1714,1792,49.45,11.0833333333333
7,male,1719,1786,51.1,10.65
8,male,1690,1762,51.05,13.7333333333333
9,male,1709,1786,47.8166666666667,8.8
10,male,1703,1779,50.6833333333333,18.6833333333333
11,male,1713,1778,48.7666666666667,9.25
12,male,1757,1761,40.6666666666667,-75.3333333333333
13,female,1741,1789,52.2333333333333,-0.9
14,male,1702,1782,51.4833333333333,9
15,female,1720,1778,50.15,17.7
16,female,1764,1770,40.6333333333333,-75.3833333333333
18,female,1769,1822,40.6666666666667,-75.3333333333333
19,male,1728,1779,52.55,15.5833333333333
20,female,1705,1785,49.6333333333333,17.9833333333333
21,male,1714,1780,53.1166666666667,13.5
22,male,1750,1761,40.8166666666667,-75.7
23,male,1712,1778,51.0333333333333,12.5166666666667
24,male,1720,1761,6.33333333333333,5.61666666666667
25,female,1759,1789,40.6666666666667,-75.3333333333333
26,male,1720,1808,49.3166666666667,8.55
27,male,1717,1801,48.8166666666667,10.5333333333333
28,male,17XX,1761?,5.38333333333333,7.91666666666667
32,female,1748,1804?,40.6333333333333,-75.3833333333333
33,female,1737,1772,48.9166666666667,7.48333333333333
34,female,1727,1793,40.7166666666667,-74
35,female,1747,1816,40.6666666666667,-75.5333333333333
36,female,1714,1795,48.5833333333333,8.8
37,female,1735,1805,48.7666666666667,9.16666666666667
38,female,1725,1789,50.4333333333333,7.56666666666667
39,female,1738,1809,49.0833333333333,9.15
